# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
AWI              | opname:2026-08-22 | ROE:36.6% | Debt:65.6 | Marge:18.6% | Vol:26.8% | Omzet:76,307,304 | zwakker | weken_buiten:2
BBW              | opname:2026-08-22 | ROE:32.8% | Debt:78.9 | Marge:10.0% | Vol:55.8% | Omzet:19,663,839 | zwakker | weken_buiten:2
BDC              | opname:2026-08-22 | ROE:18.6% | Debt:97.1 | Marge:8.5% | Vol:40.7% | Omzet:45,363,898 | zwakker | weken_buiten:2
BKE              | opname:2026-08-22 | ROE:45.8% | Debt:86.2 | Marge:16.6% | Vol:30.2% | Omzet:24,043,926 | zwakker | weken_buiten:2
BKV              | opname:2026-08-22 | ROE:14.1% | Debt:53.3 | Marge:25.5% | Vol:42.6% | Omzet:22,240,692 | zwakker | weken_buiten:2
BLK              | opname:2026-08-22 | ROE:12.3% | Debt:23.2 | Marge:24.1% | Vol:27.0% | Omzet:757,151,395 | zwakker | weken_buiten:2
BMI              | opname:2026-08-22 | ROE:18.5% | Debt:3.4 | Marge:14.3% | Vol:45.4% | Omzet:64,182,026 | zwakker | weken_buiten:2
BOOT             | opname:2026-08-22 | ROE:19.2% | Debt:59.3 | Marge:10.4% | Vol:45.4% | Omzet:110,555,109 | zwakker | weken_buiten:2
BRC              | opname:2026-08-22 | ROE:16.7% | Debt:6.6 | Marge:12.9% | Vol:33.8% | Omzet:20,075,489 | zwakker | weken_buiten:2
BRO              | opname:2026-08-22 | ROE:10.0% | Debt:64.0 | Marge:18.1% | Vol:30.7% | Omzet:213,431,601 | zwakker | weken_buiten:2
BSX              | opname:2026-08-22 | ROE:15.3% | Debt:50.2 | Marge:17.5% | Vol:37.2% | Omzet:1,043,620,771 | zwakker | weken_buiten:2
CAAP             | opname:2026-08-22 | ROE:17.4% | Debt:56.3 | Marge:13.6% | Vol:39.8% | Omzet:5,605,146 | zwakker | weken_buiten:2
CHD              | opname:2026-08-22 | ROE:17.0% | Debt:55.9 | Marge:12.0% | Vol:23.3% | Omzet:198,874,282 | zwakker | weken_buiten:2
CLH              | opname:2026-08-22 | ROE:15.6% | Debt:111.0 | Marge:7.0% | Vol:28.2% | Omzet:138,038,352 | zwakker | weken_buiten:2
CMI              | opname:2026-08-22 | ROE:21.1% | Debt:59.6 | Marge:7.8% | Vol:36.7% | Omzet:526,534,594 | zwakker | weken_buiten:2
CMRE             | opname:2026-08-22 | ROE:16.0% | Debt:65.6 | Marge:39.5% | Vol:32.2% | Omzet:6,936,296 | zwakker | weken_buiten:2
CNS              | opname:2026-08-22 | ROE:27.3% | Debt:19.3 | Marge:28.8% | Vol:26.2% | Omzet:22,324,549 | zwakker | weken_buiten:2
CNX              | opname:2026-08-22 | ROE:21.2% | Debt:49.1 | Marge:44.4% | Vol:28.7% | Omzet:71,579,709 | zwakker | weken_buiten:2
COP              | opname:2026-08-22 | ROE:14.2% | Debt:35.6 | Marge:14.4% | Vol:30.7% | Omzet:835,110,391 | zwakker | weken_buiten:2
CR               | opname:2026-08-22 | ROE:16.5% | Debt:51.2 | Marge:13.0% | Vol:31.9% | Omzet:82,608,616 | zwakker | weken_buiten:2
